"-- Please Select --","-- Please Select --"
"Navigation Arrows Size","Navigation Arrows Size"
"Navigation Arrows Style","Navigation Arrows Style"
"Navigation settings are not available for the group type with overlay navigation","Navigation settings are not available for the group type with overlay navigation"
"Navigation","Navigation"
"Never","Never"
"New Category","New Category"
"New Window / Tab","New Window / Tab"
"No Group(s)","No Group(s)"
"No","No"
"Normal","Normal"
"number of carousel items that should move on animation, if 0 then the slider will move all visible items","number of carousel items that should move on animation, if 0 then the slider will move all visible items"
"On hover","On hover"
"OnClick URL Target","OnClick URL Target"
"OnClick URL","OnClick URL"
"Outside the slider on both sides","Outside the slider on both sides"
"Overlay Background Color","Overlay Background Color"
"Overlay Hover Color","Overlay Hover Color"
"Overlay Position","Overlay Position"
"Overlay Text Color","Overlay Text Color"
"Pagination Color","Pagination Color"
"Pagination Position","Pagination Position"
"Pagination settings are not available for the group type with overlay navigation","Pagination settings are not available for the group type with overlay navigation"
"Pagination Style","Pagination Style"
"Pagination","Pagination"
"Pause Group On Hover","Pause Group On Hover"
"pause the slider and start the video automatically","pause the slider and start the video automatically"
"Position On Selected CMS Pages, Categories or Products","Position On Selected CMS Pages, Categories or Products"
"Position","Position"
"Random Order","Random Order"
"Random Select","Random Select"
"Right Sidebar Bottom","Right Sidebar Bottom"
"Right Sidebar Top","Right Sidebar Top"
"Right","Right"
"Same Window / Tab","Same Window / Tab"
"Save and Continue Edit","Save and Continue Edit"
"Save Group","Save Group"
"Save Slide","Save Slide"
"set the sort order in case of multiple groups on one page","set the sort order in case of multiple groups on one page"
"set the sort order of the slide in the selected slider group(s)","set the sort order of the slide in the selected slider group(s)"
"set the sort order of the slides as random (this ignores the sort order configured for the slides)","set the sort order of the slides as random (this ignores the sort order configured for the slides)"
"should the caption animate into the slide","should the caption animate into the slide"
"Show Examples","Show Examples"
"Show Loader","Show Loader"
"Show Navigation Arrows","Show Navigation Arrows"
"Show On All Pages (Global)","Show On All Pages (Global)"
"Show Pagination","Show Pagination"
"SKU","SKU"
"Slide Configuration","Slide Configuration"
"Slide Duration","Slide Duration"
"Slide End Date","Slide End Date"
"Slide Settings","Slide Settings"
"Slide Start Date","Slide Start Date"
"Slide with id \"%1\" does not exist.","Slide with id \"%1\" does not exist."
"Slide","Slide"
"Slides of this Group","Slides of this Group"
"Smooth Height Adjustment","Smooth Height Adjustment"
"Something went wrong while saving the group.","Something went wrong while saving the group."
"Something went wrong while saving the slide.","Something went wrong while saving the slide."
"Sort Order","Sort Order"
"Square with bar","Square with bar"
"Square","Square"
"start typing to search category","start typing to search category"
"Status","Status"
"Stop Auto Slide On Navigation","Stop Auto Slide On Navigation"
"Store View","Store View"
"Template Code (template file)","Template Code (template file)"
"The caption is set per slide but these settings control their appearance","The caption is set per slide but these settings control their appearance"
"The Following Positions Will Discard Any CMS,","The Following Positions Will Discard Any CMS,"
"The group has been deleted.","The group has been deleted."
"Theme","Theme"
"These Positions Are Disabled By Default For Optimal Performance","These Positions Are Disabled By Default For Optimal Performance"
"Group \"%1\" has slides connected, please disconnect all slides before deleting this group.","Group \"%1\" has slides connected, please disconnect all slides before deleting this group."
"This group no longer exists.","This group no longer exists."
"This slide has been deleted.","This slide has been deleted."
"This slide no longer exists.","This slide no longer exists."
"Thumbnail Width","Thumbnail Width"
"Title","Title"
"Top Left","Top Left"
"Top Right","Top Right"
"Top","Top"
"Type","Type"
"Uploaded image is not valid.","Uploaded image is not valid."
"Use Code Inserts","Use Code Inserts"
"Use External Image Hosting ","Use External Image Hosting "
"Vertical","Vertical"
"Video ID","Video ID"
"Vimeo Video","Vimeo Video"
"Visibility","Visibility"
"Visible in","Visible in"
"Visible to logged in customers only?","Visible to logged in customers only?"
"We can't find a group to delete.","We can't find a group to delete."
"We can't find a slide to delete.","We can't find a slide to delete."
"width of the thumbnails in carousel, should not be larger then thumbnail upload width in general settings (default is 200)","width of the thumbnails in carousel, should not be larger then thumbnail upload width in general settings (default is 200)"
"WooThemes","WooThemes"
"XML Code (layout xml code)","XML Code (layout xml code)"
"Yes","Yes"
"you can use the same URL as above but for performance reasons it's better to upload a seperate small thumbnail of this image, the thumbnails are used in carousels","you can use the same URL as above but for performance reasons it's better to upload a seperate small thumbnail of this image, the thumbnails are used in carousels"
"You saved this group.","You saved this group."
"You saved this slide.","You saved this slide."
"YouTube Video","YouTube Video"
